category, rank
"Baseline", 0
"Hong Kong", 1
"Costa Rica", 2
"Malawi", 3
"Albania", 4
"Haiti", 5
"Togo", 6
"Turks and Caicos Islands", 7
"Zambia", 8
"Denmark", 9
"Belize", 10
"Cayman Islands", 11
"Cuba", 12
"Afghanistan", 13
"Aruba", 14
"Guinea-Bissau", 15
"United States Virgin Islands", 16
"Chad", 17
"Netherlands", 18
"Nicaragua", 19
"Senegal", 20
"Macedonia", 21
"Thailand", 22
"Norway", 23
"Bahrain", 24
"Austria", 25
"Sint Maarten (Dutch part)", 26
"Cyprus", 27
"Cote d'Ivoire", 28
"Democratic Republic of Congo", 29
"Mexico", 30
"Taiwan", 31
"Azerbaijan", 32
"Canada", 33
"Ghana", 34
"Oman", 35
"Australia", 36
"South Korea", 37
"El Salvador", 38
"Dominica", 39
"Turkey", 40
"Saudi Arabia", 41
"Myanmar", 42
"Bolivia", 43
"Serbia", 44
"Madagascar", 45
"Northern Mariana Islands", 46
"India", 47
"South Africa", 48
"Venezuela", 49
"Algeria", 50
"Moldova", 51
"Chile", 52
"Somalia", 53
"Kazakhstan", 54
"Saint Kitts and Nevis", 55
"Malaysia", 56
"Mongolia", 57
"Belgium", 58
"Slovakia", 59
"New Caledonia", 60
"Liechtenstein", 61
"Seychelles", 62
"Philippines", 63
"Georgia", 64
"Kuwait", 65
"Romania", 66
"French Polynesia", 67
"Ethiopia", 68
"Italy", 69
"Uzbekistan", 70
"Nigeria", 71
"Greece", 72
"Jamaica", 73
"Brazil", 74
"Maldives", 75
"Portugal", 76
"Iceland", 77
"Burkina Faso", 78
"Argentina", 79
"Sweden", 80
"Falkland Islands", 81
"Gambia", 82
"Bangladesh", 83
"Russia", 84
"Niger", 85
"Montenegro", 86
"Bosnia and Herzegovina", 87
"Belarus", 88
"Singapore", 89
"Indonesia", 90
"Switzerland", 91
"Laos", 92
"Andorra", 93
"Uruguay", 94
"Vietnam", 95
"China", 96
"Mali", 97
"Brunei", 98
"Pakistan", 99
"Armenia", 100
"Guam", 101
"Cambodia", 102
"Kyrgyzstan", 103
"Estonia", 104
"Kenya", 105
"Malta", 106
"Germany", 107
"Grenada", 108
"Jersey", 109
"Mauritius", 110
"Poland", 111
"Palestine", 112
"British Virgin Islands", 113
"Israel", 114
"Fiji", 115
"Sri Lanka", 116
"New Zealand", 117
"Barbados", 118
"Spain", 119
"Saint Vincent and the Grenadines", 120
"Namibia", 121
"Bonaire Sint Eustatius and Saba", 122
"Lithuania", 123
"Croatia", 124
"Panama", 125
"Monaco", 126
"Cameroon", 127
"Antigua and Barbuda", 128
"Iran", 129
"Nepal", 130
"France", 131
"Anguilla", 132
"Paraguay", 133
"Djibouti", 134
"Tunisia", 135
"Gibraltar", 136
"Dominican Republic", 137
"Kosovo", 138
"United Kingdom", 139
"Tanzania", 140
"Ecuador", 141
"Congo", 142
"Botswana", 143
"Puerto Rico", 144
"Yemen", 145
"Guinea", 146
"Swaziland", 147
"Ireland", 148
"Bulgaria", 149
"Guatemala", 150
"Qatar", 151
"Morocco", 152
"Gabon", 153
"Japan", 154
"Syria", 155
"Sierra Leone", 156
"Jordan", 157
"Slovenia", 158
"Equatorial Guinea", 159
"Burundi", 160
"United States", 161
"Iraq", 162
"Eritrea", 163
"Rwanda", 164
"Mauritania", 165
"Mozambique", 166
"Ukraine", 167
"Egypt", 168
"Hungary", 169
"Colombia", 170
"Honduras", 171
"Peru", 172
"Bermuda", 173
"Guyana", 174
"Papua New Guinea", 175
"United Arab Emirates", 176
"Isle of Man", 177
"Saint Lucia", 178
"Czech Republic", 179
"Cape Verde", 180
"Luxembourg", 181
"Guernsey", 182
"Latvia", 183
"Benin", 184
"Libya", 185
"Finland", 186
"Bhutan", 187
"San Marino", 188
"Montserrat", 189
"Lebanon", 190
"Bahamas", 191
"Zimbabwe", 192
"South Sudan", 193
"Faeroe Islands", 194
"Central African Republic", 195
"Trinidad and Tobago", 196
"Liberia", 197
"Timor", 198
"Angola", 199
"Sudan", 200
"Sao Tome and Principe", 201
"Suriname", 202
"Curacao", 203
"Uganda", 204
"Vatican", 205
"Greenland", 206
