"Complaint Type","Adopt-A-Basket","Air Quality","Alzheimer's Care","Animal Facility - No Permit","Animal in a Park","APPLIANCE","Asbestos","ATF","Beach/Pool/Sauna Complaint","Benefit Card Replacement","Bereavement Support Group","BEST/Site Safety","Bike Rack Condition","Bike/Roller/Skate Chronic","Blocked Driveway","Boilers","Bottled Water","Bridge Condition","Broken Muni Meter","Broken Parking Meter","Building Condition","Building/Use","Bus Stop Shelter Complaint","Bus Stop Shelter Placement","Case Management Agency Complaint","City Vehicle Placard Complaint","Collection Truck Noise","Construction","CONSTRUCTION","Construction Safety Enforcement","Consumer Complaint","Cranes and Derricks","Curb Condition","Damaged Tree","DCA / DOH New License Application Request","Dead Tree","Derelict Bicycle","Derelict Vehicle","Derelict Vehicles","DHS Advantage - Tenant","DHS Advantage - Third Party","DHS Advantage -Landlord/Broker","Dirty Conditions","Disorderly Youth","DOF Parking - DMV Clearance","DOF Parking - Payment Issue","DOF Parking - Request Copy","DOF Parking - Request Status","DOF Parking - Tax Exemption","DOF Property - City Rebate","DOF Property - Owner Issue","DOF Property - Payment Issue","DOF Property - Property Value","DOF Property - Reduction Issue","DOF Property - Request Copy","DOF Property - RPIE Issue","Drinking","Drinking Water","Elder Abuse","ELECTRIC","Electrical","Elevator","Emergency Response Team (ERT)","Ferry Complaint","Ferry Inquiry","Ferry Permit","Food Establishment","Food Poisoning","For Hire Vehicle Complaint","Forensic Engineering","Found Property","GENERAL","GENERAL CONSTRUCTION","General Construction/Plumbing","Graffiti","Harboring Bees/Wasps","Hazardous Materials","HEATING","Highway Condition","Highway Sign - Damaged","Highway Sign - Dangling","Highway Sign - Missing","Home Care Provider Complaint","Home Delivered Meal - Missed Delivery","Home Delivered Meal Complaint","Home Repair","Homeless Encampment","Housing - Low Income Senior","Housing Options","HPD Literature Request","Illegal Animal Kept as Pet","Illegal Animal Sold","Illegal Fireworks","Illegal Parking","Illegal Tree Damage","Indoor Air Quality","Indoor Sewage","Industrial Waste","Investigations and Discipline (IAD)","Lead","Legal Services Provider Complaint","Litter Basket / Request","Maintenance or Facility","Miscellaneous Categories","Missed Collection (All Materials)","Mold","Municipal Parking Facility","New Tree Request","Noise","Noise - Commercial","Noise - Helicopter","Noise - House of Worship","Noise - Park","Noise - Residential","Noise - Street/Sidewalk","Noise - Vehicle","Noise Survey","Non-Emergency Police Matter","Non-Residential Heat","NONCONST","NORC Complaint","OEM Literature Request","Other Enforcement","Overflowing Litter Baskets","Overgrown Tree/Branches","PAINT - PLASTER","PAINT/PLASTER","Panhandling","Parking Card","Plant","Plumbing","PLUMBING","Poison Ivy","Posting Advertisement","Public Payphone Complaint","Public Toilet","Radioactive Material","Recycling Enforcement","Rodent","Root/Sewer/Sidewalk Condition","Sanitation Condition","Scaffold Safety","School Maintenance","SCRIE","Senior Center Complaint","Sewer","Sidewalk Condition","Smoking","Snow","Special Natural Area District (SNAD)","Special Projects Inspection Team (SPIT)","Squeegee","Stalled Sites","Standing Water","Street Condition","Street Light Condition","Street Sign - Damaged","Street Sign - Dangling","Street Sign - Missing","Summer Camp","Sweeping/Missed-Inadequate","Tattooing","Taxi Complaint","Taxi Compliment","Traffic","Traffic Signal Condition","Trans Fat","Transportation Provider Complaint","Tunnel Condition","Unleashed Dog","Unsanitary Animal Facility","Unsanitary Animal Pvt Property","Unsanitary Pigeon Condition","Urinating in Public","Vacant Lot","Vending","Violation of Park Rules","Water Conservation","Water Quality","Water System","Weatherization","Window Guard","X-Ray Machine/Equipment"
"October 14, 2012",0,13,0,0,3,20,12,1,2,23,0,11,0,1,136,9,0,4,130,5,0,108,2,0,2,5,0,39,4,7,66,0,13,47,7,25,3,35,47,0,0,0,138,2,3,48,10,4,3,0,32,13,0,35,23,0,5,0,2,162,7,36,8,0,1,0,23,5,8,0,2,0,465,153,30,0,12,298,8,0,0,0,0,0,0,6,10,26,8,24,1,0,0,126,5,16,4,14,7,5,0,10,29,1,22,2,0,16,96,25,2,1,5,257,31,25,7,13,0,252,1,5,18,4,83,341,0,2,1,2,14,373,1,0,11,0,0,2,79,64,85,3,9,47,0,148,93,5,0,0,18,0,1,6,223,396,19,6,20,0,11,0,67,1,6,116,0,0,0,1,0,14,0,0,6,5,3,15,8,145,1,0,0
"October 15, 2012",0,26,2,0,5,13,6,0,0,28,0,10,0,1,173,6,0,4,86,6,0,99,2,1,0,1,0,20,1,11,63,0,5,70,4,22,5,38,43,0,0,0,110,0,1,41,2,9,0,0,31,12,0,39,25,0,1,0,4,79,6,18,11,0,0,0,16,4,17,0,3,0,410,227,39,0,11,586,11,0,0,0,0,3,2,1,11,18,12,25,0,0,0,93,4,17,5,5,4,11,0,8,18,3,64,1,0,18,132,30,0,2,0,197,32,28,2,5,3,186,0,17,12,3,59,303,0,0,0,0,14,320,0,0,1,0,0,3,57,37,71,0,13,35,0,129,84,7,0,0,8,0,0,4,263,356,15,8,13,0,7,1,54,2,6,133,0,0,0,1,0,9,3,1,9,11,1,5,4,150,2,0,0
"October 16, 2012",0,23,2,0,2,26,6,0,0,27,0,16,0,0,154,7,0,0,109,3,0,91,40,1,0,2,0,21,4,15,54,2,8,31,9,14,4,33,24,0,0,1,123,0,0,48,4,7,2,0,26,14,0,22,16,0,3,1,0,158,10,13,16,1,0,1,20,8,23,0,1,2,517,192,60,0,8,690,4,0,0,0,0,0,0,5,12,19,8,32,1,0,1,105,7,15,7,2,6,7,0,6,22,1,62,0,0,16,152,52,5,0,3,238,44,45,5,9,5,237,0,3,16,0,48,312,1,0,0,0,11,333,0,1,8,0,0,2,71,26,76,0,5,37,2,100,78,11,0,0,11,0,3,1,235,320,13,10,16,0,6,0,59,2,14,173,0,1,0,2,1,8,1,2,2,12,4,11,2,142,1,0,0
"October 17, 2012",1,28,1,0,9,26,5,0,0,23,0,14,0,2,134,2,0,2,88,6,0,95,2,2,0,0,0,30,3,7,49,0,13,26,10,27,2,31,36,1,0,0,135,1,3,46,6,8,2,0,27,10,1,24,15,0,1,0,0,122,6,17,7,1,2,0,23,10,4,0,2,0,304,159,46,0,13,413,7,0,0,0,0,0,0,6,13,20,8,23,1,0,0,121,6,8,4,6,1,10,0,4,73,0,41,0,0,26,114,50,26,1,1,216,36,40,5,15,0,212,0,0,10,7,40,232,0,1,0,1,11,282,0,0,6,0,0,1,66,41,70,0,10,40,2,100,72,8,0,0,8,0,0,5,252,378,9,7,12,0,11,0,51,3,9,155,0,0,0,1,0,3,1,2,6,18,2,9,5,112,1,0,0
"October 18, 2012",0,15,0,0,4,17,4,0,0,22,0,4,0,1,151,4,0,0,93,7,0,55,7,2,0,0,0,17,3,4,64,1,12,53,4,14,3,25,41,1,1,0,95,0,0,41,7,12,0,0,19,11,0,27,15,0,3,0,2,96,9,11,7,0,1,1,30,10,15,0,0,0,309,138,39,0,6,217,1,0,2,0,0,1,0,2,4,17,11,9,2,0,1,97,3,9,3,4,2,12,0,5,16,0,36,0,0,12,86,94,1,1,1,362,53,30,4,12,0,176,0,0,9,0,45,227,0,0,0,0,11,252,0,1,6,0,2,2,53,33,70,0,3,45,1,128,56,6,0,0,1,0,0,11,153,214,34,5,6,0,2,0,75,3,5,186,0,0,0,5,1,6,0,2,6,6,1,3,1,105,2,0,0
"October 19, 2012",0,10,0,0,8,8,5,0,1,9,0,1,0,1,147,3,0,2,111,4,0,34,7,0,0,0,0,0,1,4,38,0,4,39,3,10,0,25,24,0,0,0,29,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,67,2,12,39,0,0,1,8,7,5,0,1,0,158,46,11,0,6,144,4,0,0,0,0,0,0,0,6,6,1,11,2,0,1,87,3,10,3,4,4,10,0,5,18,0,37,0,0,10,133,130,2,7,7,659,105,77,15,12,0,81,0,0,9,3,18,133,0,0,0,1,1,149,0,0,1,0,0,1,49,13,52,0,3,6,0,74,44,4,0,0,4,0,0,4,55,25,10,0,5,0,0,0,44,1,47,58,0,0,1,0,0,4,0,2,1,8,6,3,2,71,0,1,0
"October 20, 2012",0,4,1,0,8,2,1,0,0,9,0,2,0,1,145,3,0,0,2,0,0,56,3,0,0,2,1,3,1,0,20,0,4,8,2,11,1,15,10,0,0,0,55,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,32,2,9,20,0,0,0,15,8,23,0,1,0,87,45,25,0,6,251,9,0,0,1,0,0,0,0,7,3,1,12,1,0,0,64,0,4,2,3,1,1,0,1,15,0,37,1,0,4,64,82,3,6,7,693,57,33,27,7,0,86,0,0,5,0,10,73,0,1,0,1,5,134,0,2,0,1,0,2,48,6,45,0,0,3,0,48,15,1,0,0,5,0,0,2,114,80,34,5,1,0,1,0,63,0,5,69,0,0,0,1,0,3,1,3,0,4,5,6,2,68,0,0,0
"October 21, 2012",0,18,3,0,5,27,9,2,1,21,0,6,0,2,184,4,0,0,139,8,0,95,13,1,0,1,0,25,2,5,59,0,15,50,7,24,3,39,43,1,0,0,114,0,0,32,4,9,2,3,24,10,0,30,10,0,0,1,2,122,14,24,27,0,3,0,19,5,6,0,5,0,383,180,35,1,7,406,8,0,0,0,0,0,1,6,6,37,8,26,1,0,0,103,5,12,3,4,6,8,0,11,22,1,33,0,0,19,123,42,0,1,2,258,61,34,2,14,1,218,0,1,22,2,45,276,0,0,0,0,12,290,0,0,7,0,0,7,69,53,77,1,4,64,3,88,67,4,0,0,15,0,0,11,210,336,14,4,11,0,14,0,70,1,7,106,0,0,0,0,1,8,1,0,8,9,2,7,3,123,2,1,0
"October 22, 2012",0,22,1,0,7,19,6,0,1,18,1,6,0,0,132,4,0,1,125,6,0,94,7,0,0,0,1,29,6,12,55,2,8,37,8,31,5,23,44,1,0,0,176,1,1,28,3,6,3,0,19,7,1,32,9,0,1,1,3,112,6,26,11,1,1,0,18,5,16,0,1,0,393,127,66,0,18,239,7,0,0,0,0,1,0,5,12,17,4,18,1,0,0,109,4,13,4,5,8,7,0,12,10,0,36,1,1,35,142,53,6,1,1,224,45,24,7,12,1,209,0,2,14,4,37,290,0,0,0,1,14,297,0,1,6,0,1,2,83,28,66,1,2,51,1,73,93,9,0,1,4,0,0,6,221,555,9,3,11,0,11,2,58,3,8,171,0,0,0,3,1,11,0,2,2,8,0,8,4,73,0,0,0
"October 23, 2012",0,8,4,0,5,19,5,0,0,26,0,7,0,1,146,4,0,0,70,7,0,98,1,3,0,0,0,19,1,22,66,0,12,39,14,25,3,35,22,2,0,1,195,1,0,36,3,7,2,0,18,5,1,24,20,1,2,1,3,144,11,14,8,0,2,0,24,4,17,0,1,0,342,144,46,0,10,326,4,0,0,2,0,0,0,4,10,18,2,29,1,0,0,94,7,19,3,4,5,12,0,8,12,1,45,0,0,24,136,39,2,1,4,233,45,17,10,18,3,246,0,7,10,7,41,274,0,0,0,0,8,260,0,0,4,0,0,1,74,41,70,2,3,45,1,93,82,10,0,1,19,0,0,3,240,463,45,7,12,1,18,0,73,8,6,159,0,0,0,0,0,6,1,1,5,9,4,5,0,91,1,0,0
