,Belgium,Bulgaria,Czechia,Denmark,Germany (until 1990 former territory of the FRG),Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,United Kingdom,Iceland,Norway,Turkey,United States,Japan
1983-01-01,0,0,0,211,0,0,166,0,0,1742,0,1547,0,0,0,5,0,0,572,0,0,385,0,0,0,0,146,2787,0,0,0,11499,1580
1983-02-01,0,0,0,214,0,0,170,0,0,1657,0,1583,0,0,0,5,0,0,573,0,0,388,0,0,0,0,160,2802,0,0,0,11549,1560
1983-03-01,0,0,0,216,0,0,173,0,0,1649,0,1623,0,0,0,5,0,0,573,0,0,396,0,0,0,0,163,2823,0,0,0,11412,1530
1983-04-01,0,0,0,219,0,0,175,0,0,1729,0,1621,0,0,0,5,0,0,574,0,0,406,0,0,0,0,150,2867,0,0,0,11289,1580
1983-05-01,0,0,0,222,0,0,178,0,0,1784,0,1632,0,0,0,5,0,0,574,0,0,417,0,0,0,0,163,2858,0,0,0,11136,1580
1983-06-01,0,0,0,223,0,0,180,0,0,1828,0,1656,0,0,0,5,0,0,574,0,0,428,0,0,0,0,171,2875,0,0,0,11262,1510
1983-07-01,0,0,0,224,0,0,181,0,0,1852,0,1661,0,0,0,5,0,0,574,0,0,437,0,0,0,0,160,2868,0,0,0,10523,1500
1983-08-01,0,0,0,223,0,0,183,0,0,1884,0,1669,0,0,0,6,0,0,574,0,0,445,0,0,0,0,168,2848,0,0,0,10611,1640
1983-09-01,0,0,0,224,0,0,185,0,0,1914,0,1682,0,0,0,5,0,0,573,0,0,447,0,0,0,0,168,2853,0,0,0,10319,1610
1983-10-01,0,0,0,224,0,0,188,0,0,1946,0,1716,0,0,0,5,0,0,573,0,0,444,0,0,0,0,162,2834,0,0,0,9876,1530
1983-11-01,0,0,0,225,0,0,190,0,0,1972,0,1744,0,0,0,5,0,0,572,0,0,442,0,0,0,0,161,2835,0,0,0,9495,1550
1983-12-01,0,0,0,223,0,0,191,0,0,1995,0,1756,0,0,0,5,0,0,571,0,0,443,0,0,0,0,160,2839,0,0,0,9369,1560
1984-01-01,0,0,0,222,0,0,193,0,0,2012,0,1769,0,0,0,5,0,0,570,0,0,443,0,0,0,0,162,2833,0,0,0,9015,1610
1984-02-01,0,0,0,222,0,0,195,0,0,2032,0,1764,0,0,0,5,0,0,569,0,0,443,0,0,0,0,150,2852,0,0,0,8803,1620
1984-03-01,0,0,0,220,0,0,197,0,0,2054,0,1752,0,0,0,5,0,0,568,0,0,443,0,0,0,0,145,2847,0,0,0,8736,1590
1984-04-01,0,0,0,218,0,0,199,0,0,2071,0,1762,0,0,0,4,0,0,566,0,0,445,0,0,0,0,155,2839,0,0,0,8789,1570
1984-05-01,0,0,0,215,0,0,199,0,0,2092,0,1756,0,0,0,4,0,0,564,0,0,447,0,0,0,0,145,2863,0,0,0,8417,1590
1984-06-01,0,0,0,214,0,0,200,0,0,2112,0,1741,0,0,0,4,0,0,561,0,0,449,0,0,0,0,139,2878,0,0,0,8231,1660
1984-07-01,0,0,0,213,0,0,200,0,0,2128,0,1742,0,0,0,5,0,0,559,0,0,454,0,0,0,0,147,2904,0,0,0,8507,1650
1984-08-01,0,0,0,212,0,0,201,0,0,2147,0,1740,0,0,0,5,0,0,556,0,0,457,0,0,0,0,141,2920,0,0,0,8516,1620
1984-09-01,0,0,0,211,0,0,202,0,0,2166,0,1747,0,0,0,4,0,0,553,0,0,460,0,0,0,0,127,2954,0,0,0,8398,1610
1984-10-01,0,0,0,208,0,0,204,0,0,2193,0,1746,0,0,0,4,0,0,549,0,0,464,0,0,0,0,148,2969,0,0,0,8375,1640
1984-11-01,0,0,0,205,0,0,206,0,0,2201,0,1741,0,0,0,4,0,0,545,0,0,466,0,0,0,0,132,2994,0,0,0,8193,1600
1984-12-01,0,0,0,202,0,0,208,0,0,2199,0,1762,0,0,0,4,0,0,541,0,0,462,0,0,0,0,128,3012,0,0,0,8361,1540
1985-01-01,0,0,0,201,0,0,211,0,0,2188,0,1795,0,0,0,4,0,0,537,0,0,455,0,0,0,0,138,3027,0,0,0,8447,1480
1985-02-01,0,0,0,200,0,0,213,0,0,2181,0,1811,0,0,0,4,0,0,533,0,0,451,0,0,0,0,128,3046,0,0,0,8324,1560
1985-03-01,0,0,0,197,0,0,214,0,0,2177,0,1807,0,0,0,4,0,0,529,0,0,454,0,0,0,0,133,3056,0,0,0,8348,1560
1985-04-01,0,0,0,194,0,0,215,0,0,2174,0,1809,0,0,0,4,0,0,525,0,0,457,0,0,0,0,132,3077,0,0,0,8422,1480
1985-05-01,0,0,0,190,0,0,215,0,0,2174,0,1819,0,0,0,5,0,0,521,0,0,458,0,0,0,0,133,3094,0,0,0,8255,1520
1985-06-01,0,0,0,185,0,0,216,0,0,2185,0,1840,0,0,0,5,0,0,517,0,0,459,0,0,0,0,129,3081,0,0,0,8436,1550
1985-07-01,0,0,0,179,0,0,218,0,0,2178,0,1862,0,0,0,5,0,0,513,0,0,460,0,0,0,0,125,3080,0,0,0,8490,1530
1985-08-01,0,0,0,175,0,0,219,0,0,2180,0,1875,0,0,0,4,0,0,509,0,0,465,0,0,0,0,124,3077,0,0,0,8202,1510
1985-09-01,0,0,0,170,0,0,220,0,0,2185,0,1884,0,0,0,4,0,0,505,0,0,469,0,0,0,0,126,3065,0,0,0,8286,1590
1985-10-01,0,0,0,164,0,0,219,0,0,2199,0,1901,0,0,0,4,0,0,501,0,0,469,0,0,0,0,115,3071,0,0,0,8301,1640
1985-11-01,0,0,0,159,0,0,218,0,0,2198,0,1925,0,0,0,4,0,0,498,0,0,471,0,0,0,0,119,3052,0,0,0,8118,1680
1985-12-01,0,0,0,154,0,0,219,0,0,2190,0,1942,0,0,0,4,0,0,494,0,0,474,0,0,0,0,125,3059,0,0,0,8138,1670
1986-01-01,0,0,0,149,0,0,219,0,0,2178,0,1952,0,0,0,4,0,0,491,0,0,473,0,0,0,0,120,3059,0,0,0,7815,1610
1986-02-01,0,0,0,145,0,0,217,0,0,2172,0,1967,0,0,0,4,0,0,488,0,0,471,0,0,0,0,131,3050,0,0,0,8412,1550
1986-03-01,0,0,0,142,0,0,218,0,0,2175,0,1987,0,0,0,4,0,0,485,0,0,469,0,0,0,0,129,3079,0,0,0,8378,1630
1986-04-01,395,0,0,139,0,0,218,0,2822,2206,0,2002,0,0,0,4,0,0,482,0,0,465,0,0,0,0,117,3091,0,0,0,8412,1710
1986-05-01,395,0,0,137,0,0,218,0,2803,2217,0,2012,0,0,0,4,0,0,480,0,0,459,0,0,0,0,123,3099,0,0,0,8394,1610
1986-06-01,395,0,0,136,0,0,219,0,2786,2226,0,2023,0,0,0,4,0,0,478,0,0,451,0,0,0,0,115,3113,0,0,0,8486,1650
1986-07-01,392,0,0,136,0,0,218,0,2793,2253,0,2045,0,0,0,4,0,0,476,0,0,441,0,0,0,0,113,3124,0,0,0,8292,1760
1986-08-01,388,0,0,136,0,0,218,0,2790,2264,0,2070,0,0,0,4,0,0,474,0,0,430,0,0,0,0,116,3131,0,0,0,8136,1720
1986-09-01,387,0,0,135,0,0,217,0,2796,2280,0,2093,0,0,0,4,0,0,473,0,0,421,0,0,0,0,116,3128,0,0,0,8334,1690
1986-10-01,391,0,0,134,0,0,217,0,2792,2327,0,2115,0,0,0,4,0,0,472,0,0,418,0,0,0,0,114,3113,0,0,0,8238,1660
1986-11-01,392,0,0,135,0,0,217,0,2810,2339,0,2113,0,0,0,4,0,0,471,0,0,414,0,0,0,0,119,3111,0,0,0,8146,1680
1986-12-01,392,0,0,137,0,0,218,0,2815,2341,0,2134,0,0,0,4,0,0,471,0,0,411,0,0,0,0,114,3093,0,0,0,7885,1750
1987-01-01,392,0,0,138,0,0,218,0,2820,2356,0,2141,0,0,0,4,0,0,470,0,0,410,0,0,0,0,103,3092,0,0,0,7932,1790
1987-02-01,389,0,0,138,0,0,218,0,2808,2348,0,2143,0,0,0,4,0,0,471,0,0,409,0,0,0,0,108,3057,0,0,0,7876,1780
1987-03-01,385,0,0,138,0,0,216,0,2794,2338,0,2152,0,0,0,4,0,0,471,0,0,401,0,0,0,0,109,3018,0,0,0,7847,1740
